elegans	brenneri	briggsae	remanei	japonica	common_name	common_name2	type	upstream_considered	intronic_considered	num_orthologs
WBGene00000001	WBGene00139315_WBGene00194098	WBGene00032086	WBGene00069407	WBGene00135672_WBGene00207613	aap-1	Y110A7A.10	other	218	535	4
WBGene00000002	WBGene00149684_WBGene00155266	WBGene00039142	WBGene00072228	WBGene00128643_WBGene00216201	aat-1	F27C8.1	other	13275	779	4
WBGene00000003	WBGene00164839_WBGene00193974	WBGene00038493_WBGene00042289	WBGene00064948_WBGene00064951	WBGene00136462	aat-2	F07C3.7	other	1678	221	4
WBGene00000004	WBGene00164587	WBGene00025215	WBGene00058173	WBGene00134226	aat-3	F52H2.2	GABAergic	4407	3450	4
WBGene00000005	WBGene00156759	WBGene00041961	WBGene00072979	WBGene00135829	aat-4	T13A10.10	other	542	1372	4
WBGene00000006	WBGene00147961_WBGene00193695	WBGene00026891	WBGene00057075	WBGene00127888	aat-5	C55C2.5	other	4928	2344	4
WBGene00000007		WBGene00041605	WBGene00064745	WBGene00119607	aat-6	T11F9.4	other	269	2057	3
WBGene00000008	WBGene00143161	WBGene00029323	WBGene00064649	WBGene00136601	aat-7	F54D12.3	other	1507	3177	4
WBGene00000009	WBGene00190124_WBGene00190979	WBGene00032025_WBGene00087887	WBGene00061112_WBGene00068387_WBGene00077141	WBGene00128104_WBGene00215037	aat-8	F28F9.4	other	2116	1450	4
WBGene00000010	WBGene00156759	WBGene00041961	WBGene00072979	WBGene00135829	aat-9	Y53H1C.1	other	3953	5892	4
WBGene00000012	WBGene00155076	WBGene00271660	WBGene00085225	WBGene00184484	abf-1	C50F2.9	other	257	712	4
WBGene00000013	WBGene00155076_WBGene00154631_WBGene00161128	WBGene00032998_WBGene00040385	WBGene00080575_WBGene00081061	WBGene00184484	abf-2	C50F2.10	other	222	0	4
WBGene00000014	WBGene00152875	WBGene00023566	WBGene00051168	WBGene00123064	abf-3	F54B8.5	other	2436	167	4
WBGene00000015	WBGene00152875	WBGene00023566	WBGene00051168	WBGene00123064	abf-4	Y38H6C.22	other	709	54	4
WBGene00000016	WBGene00152875	WBGene00023566	WBGene00051168	WBGene00123064	abf-5	T22H6.5	other	1112	54	4
WBGene00000017	WBGene00153840	WBGene00023565	WBGene00051169	WBGene00123064	abf-6	T22H6.7	other	790	51	4
WBGene00000018	WBGene00143134	WBGene00027163	WBGene00058433	WBGene00124120	abl-1	M79.1	other	2371	14055	4
WBGene00000019		WBGene00026264	WBGene00065665_WBGene00077085_WBGene00075438	WBGene00178149	abt-1	C24F3.5	other	74	3962	3
WBGene00000020	WBGene00140782_WBGene00191952	WBGene00026658	WBGene00057197	WBGene00129661	abt-2	F12B6.1	Touch.receptor	6968	10274	4
WBGene00000022	WBGene00160585_WBGene00190033	WBGene00024527	WBGene00056689	WBGene00123556	abt-4	Y39D8C.1	other	3921	1406	4
WBGene00000023	WBGene00159523_WBGene00191389	WBGene00031527_WBGene00031585_WBGene00033921_WBGene00039310	WBGene00056293	WBGene00122431	abt-5	Y53C10A.9	other	6278	2669	4
WBGene00000024	WBGene00160920	WBGene00031181	WBGene00065084	WBGene00128700_WBGene00210383_WBGene00125358_WBGene00179401_WBGene00209629_WBGene00119395_WBGene00209498_WBGene00132963_WBGene00209778_WBGene00121938_WBGene00128167_WBGene00207387_WBGene00213324_WBGene00236794	abu-1	AC3.3	other	656	82	4
WBGene00000025	WBGene00160920		WBGene00065084	WBGene00128700_WBGene00210383_WBGene00125358_WBGene00179401_WBGene00209629_WBGene00119395_WBGene00209498_WBGene00132963_WBGene00209778_WBGene00121938_WBGene00128167_WBGene00207387_WBGene00213324_WBGene00236794	abu-2	F19G12.7	other	2491	98	3
WBGene00000027	WBGene00160920	WBGene00031181	WBGene00065084	WBGene00132963_WBGene00119395_WBGene00125358_WBGene00210383_WBGene00179401_WBGene00128700_WBGene00209629_WBGene00209498_WBGene00209778_WBGene00182682_WBGene00128167_WBGene00121938_WBGene00207387_WBGene00213324_WBGene00236794	abu-4	Y5H2A.3	other	528	76	4
